datetime	CPU usage (%)	memory allocate (kB)
[2016-01-28 19:22:37.809]	0.3	19487
[2016-01-28 19:22:38.816]	0.3	19170
[2016-01-28 19:22:39.848]	0.3	19170
[2016-01-28 19:22:40.870]	0.3	19169
[2016-01-28 19:22:41.892]	0.3	19169
[2016-01-28 19:22:42.913]	0.3	19168
[2016-01-28 19:22:43.934]	3.9	19168
[2016-01-28 19:22:44.958]	3.9	19167
[2016-01-28 19:22:45.979]	3.9	19166
[2016-01-28 19:22:47.000]	3.9	19166
[2016-01-28 19:22:48.024]	3.9	19166
[2016-01-28 19:22:49.047]	3.9	19166
[2016-01-28 19:22:50.072]	3.9	19166
[2016-01-28 19:22:51.096]	3.9	19166
[2016-01-28 19:22:52.177]	3.9	19166
